order_id,customer_id,restaurant_id,cost,rating,food_preparation_time,delivery_time,total_time,expected_total_time,delivery_delay,order_hour,time_of_day,peak_hour_flag,traffic_level,delay_category,day_of_the_week,distance_km,speed_kmph,delivery_person_id
1477209,17495,41,12.18,5.0,26,24,50,52.0,-2.0,17,Evening,0,Medium,On Time,Weekday,8.86,43.6,37
1478334,352247,32,25.22,4.0,27,22,49,52.0,-3.0,14,Afternoon,1,Medium,On Time,Weekend,4.44,18.4,38
1477872,300670,15,13.39,5.0,30,22,52,52.0,0.0,22,Night,0,Medium,On Time,Weekend,5.79,30.0,39
1478417,87747,4,9.02,5.0,31,15,46,52.0,-6.0,21,Night,1,Low,Early,Weekend,4.2,42.4,40
1477401,326426,16,29.15,5.0,34,24,58,52.0,6.0,14,Afternoon,1,Medium,Slightly Delayed,Weekend,6.7,15.8,41
1477764,131645,70,13.0,5.0,24,32,56,52.0,4.0,18,Evening,1,High,On Time,Weekday,3.13,24.9,42
1477835,129518,4,15.33,4.0,24,29,53,52.0,1.0,16,Afternoon,0,High,On Time,Weekday,14.83,40.3,43
1476997,103005,58,14.55,5.0,20,28,48,52.0,-4.0,22,Night,0,High,On Time,Weekend,7.38,36.3,44
1477519,140477,59,31.43,5.0,24,17,41,52.0,-11.0,22,Night,0,Low,Early,Weekend,8.52,39.3,45
1477004,250494,19,33.03,5.0,29,15,44,52.0,-8.0,17,Evening,0,Low,Early,Weekend,11.74,42.4,46
1477536,105164,71,15.91,4.0,26,26,52,52.0,0.0,17,Evening,0,High,On Time,Weekend,13.97,22.3,47
1478313,160957,59,12.18,4.0,27,25,52,52.0,0.0,19,Evening,1,Medium,On Time,Weekend,11.25,39.6,48
1477290,361509,15,19.35,5.0,35,33,68,52.0,16.0,20,Evening,1,Jam,Heavily Delayed,Weekday,2.12,33.0,49
1476648,169478,33,19.35,5.0,24,28,52,52.0,0.0,10,Morning,0,High,On Time,Weekend,12.41,35.3,50
1476657,91192,37,29.35,4.0,26,24,50,52.0,-2.0,22,Night,0,Medium,On Time,Weekend,8.85,31.9,1
1478089,134294,15,15.28,4.0,30,29,59,52.0,7.0,23,Night,0,High,Slightly Delayed,Weekday,8.88,20.7,2
1478026,365225,72,12.23,3.0,24,24,48,52.0,-4.0,14,Afternoon,1,Medium,On Time,Weekday,13.7,28.0,3
1477768,279895,15,9.6,4.0,35,28,63,52.0,11.0,8,Morning,0,High,Slightly Delayed,Weekday,4.35,15.1,4
1477424,81110,49,12.95,5.0,20,25,45,52.0,-7.0,11,Morning,1,Medium,Early,Weekend,13.84,23.9,5
1478378,384391,15,8.88,5.0,27,23,50,52.0,-2.0,20,Evening,1,Medium,On Time,Weekend,4.37,24.0,6
1477493,328357,15,15.96,3.0,30,21,51,52.0,-1.0,23,Night,0,Medium,On Time,Weekend,13.31,15.4,7
1478092,41318,39,15.47,5.0,33,16,49,52.0,-3.0,11,Morning,1,Low,On Time,Weekend,8.68,40.8,8
1477150,92832,19,12.23,5.0,22,22,44,52.0,-8.0,21,Night,1,Medium,Early,Weekend,10.32,15.2,9
1478157,58871,15,8.05,4.0,25,27,52,52.0,0.0,12,Afternoon,1,High,On Time,Weekday,8.13,41.8,10
1478343,231042,59,8.54,4.0,28,29,57,52.0,5.0,14,Afternoon,1,High,On Time,Weekday,7.5,38.9,11
1476860,336162,45,29.15,5.0,28,25,53,52.0,1.0,14,Afternoon,1,Medium,On Time,Weekday,12.89,28.1,12
1477675,76907,49,7.23,5.0,21,18,39,52.0,-13.0,20,Evening,1,Medium,Early,Weekend,11.84,18.4,13
1476799,389740,73,19.69,3.0,26,17,43,52.0,-9.0,22,Night,0,Low,Early,Weekend,3.86,26.6,14
1476598,41168,29,12.13,3.0,34,22,56,52.0,4.0,18,Evening,1,Medium,On Time,Weekend,7.79,35.1,15
1477277,59749,55,16.49,5.0,31,27,58,52.0,6.0,20,Evening,1,High,Slightly Delayed,Weekday,9.18,19.0,16
1476682,86731,51,12.08,5.0,30,18,48,52.0,-4.0,11,Morning,1,Medium,On Time,Weekend,11.0,17.4,17
1477047,42832,27,9.27,5.0,34,30,64,52.0,12.0,20,Evening,1,High,Slightly Delayed,Weekend,9.11,44.1,18
1478173,91005,49,24.25,5.0,33,26,59,52.0,7.0,23,Night,0,High,Slightly Delayed,Weekend,1.11,27.7,19
